code_name,length_mean,length_std,test_coverage_mean,test_coverage_std,test_HR_20_mean,test_HR_20_std,test_HR_100_mean,test_HR_100_std,train_coverage_mean,train_coverage_std,train_HR_20_mean,train_HR_20_std,train_HR_100_mean,train_HR_100_std,avg_quantity
[CS CM CC][Len MFit CAtom][G3],6.2992731936725095,1.990622666148959,0.028358682551388705,0.006550442006175892,0.3381500000659699,0.049001854946147935,0.6715880679197257,0.059869402160270535,0.028535501656203534,0.006285367711080428,0.3391212145690832,0.042050261672791425,0.6725591123725426,0.05466678391871121,23.39
[CS CM CC][Len MFit CAtom][GNone],1.9229828850855746,0.4112076160543366,0.0282099145218152,0.005568308300677143,0.3193194905968465,0.0664415487572219,0.6391136125981762,0.08299474304631427,0.028379670744123432,0.005374021328686227,0.3184692686944821,0.06172294785962889,0.6387514061049313,0.07955380332273708,8.18
[CS CM CC][Len SSize CAtom][G3],63.61838903828915,46.32957100497344,0.5958128293437083,0.3298712069615006,0.25879194330616356,0.02619512078899117,0.5675803123793425,0.03699681872970834,0.5961279802287596,0.3297951248504116,0.2592254610729786,0.024953865772242095,0.5672689076507712,0.03588331114854006,78.09
[CS CM CC][Len SSize CAtom][GNone],1.890746934225195,0.3192017099659184,0.1539735535919262,0.21971887957356864,0.2779454262689345,0.04527302258123775,0.6009207825278753,0.06618867754876333,0.15423427318518665,0.21982655637724913,0.27829525823611206,0.041735669756985595,0.6000873971750424,0.06407428413435502,8.97
[CS CM CC][Len SSize MFit CAtom][G3],20.842447714949653,18.64297995991753,0.2033337608423384,0.21872960819722484,0.2901799414356325,0.037995315562812625,0.6129383983763361,0.05139083944530791,0.2037696311734971,0.21884541889510958,0.28992983005322454,0.034846409593339664,0.6118643350273854,0.048881395907191164,64.55
[CS CM CC][Len SSize MFit CAtom][G4],24.796290474693492,17.970035638827902,0.15912866323858704,0.17037313642506505,0.3016290761834247,0.04009921963268828,0.6294045771615818,0.053903856677050804,0.1594729924554416,0.17043567902074042,0.3016545121913445,0.037020858388407456,0.6285093413273564,0.05121165511920285,63.62
[CS CM CC][Len SSize MFit CAtom][G5],29.5648624130632,18.800188835775558,0.13416398496541024,0.14167127442713962,0.311742896556998,0.04078379996194049,0.6435895341468768,0.05334553504669997,0.13469453180505933,0.14187826601673853,0.31127182172794476,0.037177788797685726,0.6419604643239456,0.05093684107294886,66.14
[CS CM CC][Len SSize MFit CAtom][GNone],1.6980392156862745,0.4992601688995731,0.09766995047282706,0.12723195404206475,0.30374828360919015,0.044508222096041834,0.6291363894136508,0.05564904679223024,0.09793600817986764,0.12732610663436789,0.3043864398802073,0.0407559206432906,0.6289689073863934,0.05234903799231237,51.0
[CS CM CC][Len SSize MFit CAtom][Gauto],26.687645687645688,30.94549660058618,0.5299374024165736,0.32974325976204966,0.25525213367222976,0.02284622168888602,0.5614531415025604,0.029759757328972715,0.5301053048432586,0.3296124382005173,0.2556660450279931,0.02117086325967674,0.5612024137117732,0.028382226257731225,72.93
[CS CM CC][Len SSize MFit][G3],43.68887694787748,33.00351834930521,0.44078499150644945,0.31486283074237875,0.2692918846330757,0.03392771470934262,0.5826896241806812,0.04684528697151755,0.4411725394087403,0.3147425049703461,0.26999515111497085,0.03254036223252278,0.5827191553837079,0.045816594889859744,74.44
[CS CM CC][Len SSize MFit][GNone],1.444915254237288,0.5399630989593006,0.14160761753875825,0.1559444852050419,0.3089631300385215,0.03982701312049551,0.6349337090014366,0.045307463588347044,0.14193644933124255,0.1560467506263524,0.3101674306689978,0.03633673168053194,0.6356728306269249,0.04306002104641609,28.32
[CS CM CC][SSize MFit CAtom][G3],124.1350980661089,61.174851078242284,0.8585653988450153,0.17077951446968573,0.2444711554144457,0.007188105569650194,0.5465424754418216,0.00958111397143765,0.8587336734530101,0.17056762580801546,0.2448901031032206,0.005432086743276434,0.5463307416987742,0.00802424773227758,72.91
[CS CM CC][SSize MFit CAtom][GNone],1.7890858853327194,0.45749872473406455,0.10342546247042866,0.13541343917374332,0.3031413193257189,0.04281308244958539,0.6295842097275419,0.05358474493905475,0.1037549036478363,0.13548942120004007,0.3040697238819719,0.03928705953988323,0.6300733012993455,0.051220653091226115,43.43
[CS CM OC][Len SSize MFit CAtom][G3],20.45448717948718,18.468893522531943,0.1959066643039997,0.21249168853257613,0.2897202199448602,0.03838660540336272,0.6125613554248615,0.05120378308869402,0.19633900943637475,0.21265618887890575,0.2902661877051935,0.034739038685290595,0.6121483357800889,0.048655020696055276,62.4
[CS CM OC][Len SSize MFit CAtom][GNone],1.6909854087547471,0.5019481124816776,0.09852473620795696,0.12838497253345038,0.30484382945424865,0.04482601549002808,0.6297702421147373,0.05514250326589796,0.09875309142022382,0.12848200237931118,0.30591511085030837,0.040958655191247105,0.6302839377743888,0.051937903609963934,50.03
[CS OM CC][Len SSize MFit CAtom][G3],5.618179344128452,2.370046800057268,0.08848078297144998,0.053300166663059305,0.3162454730774346,0.033396778908677156,0.653341399646627,0.03969666190981275,0.08890288960080167,0.05323084194702377,0.31597933949462004,0.028087604515613946,0.6521963919092146,0.03631882599206064,73.49
[CS OM CC][Len SSize MFit CAtom][GNone],2.371374709976798,0.7906184293079277,0.07631027837598904,0.09651089142036222,0.3219069936295892,0.04293492034976828,0.6585119034041029,0.05361703491117849,0.07668973569652285,0.09653549065242999,0.3225984735500685,0.03802260757935785,0.6585046450567943,0.050541147675492,68.96
[OS CM CC][Len SSize MFit CAtom][G3],21.179778987300015,20.13701025319523,0.20206447920156173,0.22610472364988068,0.2896361489518288,0.03808743090447251,0.6121334050998327,0.05098875449568589,0.20263158191572075,0.22631995813543918,0.28998622188650786,0.034858268199504924,0.6115530557380416,0.04901256353658673,60.63
[OS CM CC][Len SSize MFit CAtom][GNone],1.6788291900561347,0.4801001588382661,0.09744079245113699,0.12824614579533922,0.3035656890094605,0.0453566200791827,0.6280392351645253,0.05589440598908922,0.0977121354548789,0.1283209320900258,0.30423788974179267,0.04104890807414517,0.6281480966216604,0.052367556729067934,49.88
